....................
KOD,SIMPLE_NAM
01051500,ЦЕСАРКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
0105150000,ЦЕСАРКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
010594,"ДОМАШНЯЯ ПТИЦА ЖИВАЯ, КУРЫ ДОМАШНИЕ (GALLUS DOMESTICUS) МАССОЙ БОЛЕЕ 185 Г."
01059400,"ДОМАШНЯЯ ПТИЦА ЖИВАЯ, КУРЫ ДОМАШНИЕ (GALLUS DOMESTICUS) МАССОЙ БОЛЕЕ 185 Г."
0105940000,"ДОМАШНЯЯ ПТИЦА ЖИВАЯ, КУРЫ ДОМАШНИЕ (GALLUS DOMESTICUS) МАССОЙ БОЛЕЕ 185 Г."
010599,"УТКИ, ГУСИ, ИНДЕЙКИ, ЦЕСАРКИ ЖИВЫЕ ВЕСОМ БОЛЕЕ 185 Г"
01059910,ПРОЧИЕ УТКИ ЖИВЫЕ
0105991000,ПРОЧИЕ УТКИ ЖИВЫЕ
01059920,ПРОЧИЕ ГУСИ ЖИВЫЕ
0105992000,ПРОЧИЕ ГУСИ ЖИВЫЕ
01059930,ПРОЧИЕ ИНДЕЙКИ ЖИВЫЕ
0105993000,ПРОЧИЕ ИНДЕЙКИ ЖИВЫЕ
01059950,ПРОЧИЕ ЦЕСАРКИ ЖИВЫЕ
0105995000,ПРОЧИЕ ЦЕСАРКИ ЖИВЫЕ
0106,ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ
010611,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: МЛЕКОПИТАЮЩИЕ ПРИМАТЫ
01061100,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: МЛЕКОПИТАЮЩИЕ ПРИМАТЫ
0106110010,ПРОЧИЕ ЖИВЫЕ ПРИМАТЫ ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ
0106110090,ПРОЧИЕ ЖИВЫЕ ПРИМАТЫ
010612,"ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ МЛЕКОПИТАЮЩИЕ: КИТЫ, ДЕЛЬФИНЫ И МОРСКИЕ СВИНЬИ (ОТРЯДА CETACEA);ЛАМАНТИНЫ И ДЮГОНИ (ОТРЯДА SIRENIA);ТЮЛЕНИ,МОРСКИЕ ЛЬВЫ И МОРЖИ (ПОДОТРЯДА PINNIPEDIA)"
01061200,"ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ МЛЕКОПИТАЮЩИЕ: КИТЫ, ДЕЛЬФИНЫ И МОРСКИЕ СВИНЬИ (ОТРЯДА CETACEA);ЛАМАНТИНЫ И ДЮГОНИ (ОТРЯДА SIRENIA);ТЮЛЕНИ,МОРСКИЕ ЛЬВЫ И МОРЖИ (ПОДОТРЯДА PINNIPEDIA)"
0106120010,"КИТЫ, ДЕЛЬФИНЫ И МОРСКИЕ СВИНЬИ, ЛАМАНТИНЫ И ДЮГОНИ, ТЮЛЕНИ, МОРСКИЕ ЛЬВЫ И МОРЖИ, ЖИВЫЕ МЛЕКОПИТАЮЩИЕ, ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ"
0106120090,"КИТЫ, ДЕЛЬФИНЫ И МОРСКИЕ СВИНЬИ, ЛАМАНТИНЫ И ДЮГОНИ, ТЮЛЕНИ, МОРСКИЕ ЛЬВЫ И МОРЖИ, ЖИВЫЕ МЛЕКОПИТАЮЩИЕ ПРОЧИЕ"
010613,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ВЕРБЛЮДЫ И ПРОЧИЕ ЖИВОТНЫЕ СЕМЕЙСТВА ВЕРБЛЮДОВЫХ (CAMELIDAE)
01061300,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ВЕРБЛЮДЫ И ПРОЧИЕ ЖИВОТНЫЕ СЕМЕЙСТВА ВЕРБЛЮДОВЫХ (CAMELIDAE)
0106130010,"ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ МЛЕКОПИТАЮЩИЕ,   ВЕРБЛЮДЫ И ПРОЧИЕ ЖИВОТНЫЕ СЕМЕЙСТВА ВЕРБЛЮДОВЫХ (CAMELIDAE)"
0106130090,ЖИВЫЕ ЖИВОТНЫЕ МЛЕКОПИТАЮЩИЕ ПРОЧИЕ: ВЕРБЛЮДЫ И ПРОЧИЕ ЖИВОТНЫЕ СЕМЕЙСТВА ВЕРБЛЮДОВЫХ (CAMELIDAE):
010614,КРОЛИКИ И ЗАЙЦЫ
01061410,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: КРОЛИКИ ДОМАШНИЕ
0106141010,"КРОЛИКИ ДОМАШНИЕ, ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ"
0106141090,ПРОЧИЕ КРОЛИКИ ДОМАШНИЕ
01061490,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: КРОЛИКИ И ЗАЙЦЫ ПРОЧИЕ
0106149010,ЖИВЫЕ ЖИВОТНЫЕ  МЛЕКОПИТАЮЩИЕ ПРОЧИЕ ДЛЯ НАУЧНЫХ ЦЕЛЕЙ
0106149090,ЖИВЫЕ ЖИВОТНЫЕ  МЛЕКОПИТАЮЩИЕ ПРОЧИЕ
